Data Source,World Development Indicators,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Last Updated Date,08-04-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,
Africa Eastern and Southern,AFE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,61.14346154,67.86608577,68.02690408,72.08324718,77.73794918,76.81353644,,,,,
Africa Western and Central,AFW,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,120.0607017,163.6564341,165.9159507,252.8557477,364.825805,578.2587803,631.4419555,460.5675116,685.0202378,869.8461896,
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,125.9616667,124.1425,119.1,107.9891667,109.8508333,108.65,103.52,113.0416667,100.645,93.12333333,
Andorra,AND,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,0.845376564,0.950915534,0.924709623,0.924367447,
Arab World,ARB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,
United Arab Emirates,ARE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,3.6725,
Argentina,ARG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,9.233185525,14.75817509,16.56270693,28.09499167,48.14789167,70.53916667,94.99074167,130.61655,296.2580417,914.6948833,
Armenia,ARM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,477.9183066,480.4881508,482.7163938,482.9879466,480.4451288,489.0088586,503.769675,435.6661797,392.4763022,392.7295514,
American Samoa,ASM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,
Antigua and Barbuda,ATG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,
Australia,AUS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.331090262,1.345213976,1.304758077,1.338412146,1.438506544,1.453085118,1.33122426,1.441664459,1.505191066,1.515358039,
Austria,AUT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Azerbaijan,AZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.024563819,1.595721573,1.721154802,1.700016667,1.7,1.7,1.7,1.7,1.7,1.7,
Burundi,BDI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1571.898333,1654.626667,1729.055,1782.876875,1845.622891,1915.046176,1975.950881,2034.306634,2574.051749,2885.245498,
Belgium,BEL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.901296423,0.903421436,0.885205508,0.846772667,0.893276257,0.875506397,0.845494139,0.949623753,0.924839558,0.923889546,
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9508138,574.2945496,554.6077989,622.9123482,606.6549823,606.3452976,
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502,606.3452976,
Bangladesh,BGD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,77.94690833,78.46809167,80.43754167,83.46620192,84.4535225,84.87139167,85.08376325,91.74545444,106.3094843,115.6036538,
Bulgaria,BGR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.7644,1.768041667,1.735458333,1.657041667,1.747041667,1.716333333,1.653775,1.860141667,1.808966667,1.807841667,
Bahrain,BHR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,
"Bahamas, The",BHS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,
Bosnia and Herzegovina,BIH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.763491647,1.768139024,1.735352713,1.656985441,1.747086461,1.716970495,1.653606154,1.859325877,1.8092028,1.807563562,
